,,,,,,,,,,-89.74964904785156,89.1871337890625,-17.916641235351562,17.825790405273438
5.0,-16.0,2.0,-2.0,11.0,-89.0,-11.0,6.0,18.0,-35.0,7.7777252197265625,-19.4893798828125,33.94422912597656,-6.0251617431640625
-13.0,1.0,2.0,-5.0,10.0,-30.0,-3.0,-1.0,24.0,-49.0,1.2232818603515625,-4.2141571044921875,12.017913818359375,-7.50970458984375
19.0,-14.0,4.0,-1.0,-6.0,2.0,-1.0,-3.0,18.0,-21.0,-11.2684326171875,19.783340454101562,-2.5040740966796875,-17.69097900390625
9.0,-10.0,4.0,-8.0,23.0,-3.0,4.0,-10.0,11.0,-10.0,-22.223495483398438,29.778244018554688,-4.938568115234375,-17.69207763671875
11.0,-7.0,6.0,-5.0,6.0,8.0,2.0,-7.0,5.0,10.0,-24.011642456054688,18.198944091796875,-5.3359222412109375,3.4479751586914062
5,4,7,-2,6,34,,,-9,40,-19.997665405273438,13.331802368164062,-4.4439239501953125,27.75072479248047
4,-4,9,-26,0,1,,,-6,7,-11.887008666992188,7.9246673583984375,-2.64154052734375,25.896438598632812
0.0,-7.0,6.0,-34.0,-5.0,-4.0,9.0,-21.0,-3.0,2.0,13.942520141601562,-6.05316162109375,-9.689971923828125,-0.0711517333984375
0.0,-5.0,8.0,-31.0,5.0,-3.0,17.0,-22.0,0.0,3.0,31.586044311523438,-17.020980834960938,-19.845687866210938,-1.6947174072265625
-5.0,6.0,-8.0,10.0,-1.0,24.0,6.0,2.0,-12.0,25.0,25.926727294921875,-24.609390258789062,-10.201118469238281,-3.217071533203125
-2.0,15.0,-7.0,25.0,-11.0,29.0,3.0,8.0,-9.0,24.0,10.763717651367188,-21.794509887695312,19.36396026611328,-4.1408538818359375
-5.0,28.0,-15.0,90.0,-5.0,26.0,-37.0,84.0,-20.0,4.0,2.255401611328125,-10.47894287109375,39.14491271972656,-21.85052490234375
0,-12,-6,0,,,-18,8,20,-19,-15.570541381835938,24.56829833984375,-3.46014404296875,-17.733642578125
-2,5,-2,10,,,0,8,12,7,-22.92657470703125,24.7115478515625,-5.0948028564453125,-10.823516845703125
